         4189763 function calls (3931303 primitive calls) in 425.413 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.775    0.775 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/worker.py:43(__init__)
        2    0.000    0.000    0.775    0.388 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/attention/selector.py:89(get_attn_backend)
        1    0.000    0.000    0.775    0.775 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/model_runner.py:819(__init__)
        1    0.000    0.000    0.774    0.774 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/attention/backends/xformers.py:1(<module>)
    29884    0.043    0.000    0.769    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/_ops.py:1047(__call__)
    17965    0.767    0.000    0.767    0.000 {method 'count' of 'str' objects}
    17899    0.038    0.000    0.743    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/spawnbase.py:254(expect)
14391/14199    0.024    0.000    0.736    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
   144/87    0.001    0.000    0.722    0.008 {built-in method builtins.__import__}
    13560    0.028    0.000    0.719    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/linear.py:129(apply)
    14221    0.716    0.000    0.716    0.000 {built-in method torch._C._nn.linear}
        1    0.000    0.000    0.712    0.712 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/worker.py:438(init_worker_distributed_environment)
        7    0.000    0.000    0.704    0.101 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/pty_spawn.py:317(close)
        7    0.000    0.000    0.703    0.100 /opt/conda/envs/pytorch/lib/python3.10/site-packages/ptyprocess/ptyprocess.py:393(close)
     6780    0.040    0.000    0.677    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/linear.py:1042(forward)
4999/2321    0.003    0.000    0.669    0.000 {built-in method builtins.next}
      661    0.006    0.000    0.654    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/model_runner.py:1361(prepare_model_input)
      667    0.016    0.000    0.628    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/communication_op.py:27(broadcast_tensor_dict)
      667    0.053    0.000    0.610    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/parallel_state.py:484(broadcast_tensor_dict)
    13673    0.016    0.000    0.600    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/custom_op.py:13(forward)
        2    0.000    0.000    0.584    0.292 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/cuda/memory.py:670(mem_get_info)
        2    0.584    0.292    0.584    0.292 {built-in method torch._C._cudart.cudaMemGetInfo}
       90    0.002    0.000    0.572    0.006 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/linear.py:767(weight_loader)
        2    0.000    0.000    0.567    0.283 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/vocab_parallel_embedding.py:345(weight_loader)
        1    0.000    0.000    0.531    0.531 /opt/conda/envs/pytorch/lib/python3.10/site-packages/xformers/ops/__init__.py:1(<module>)
      113    0.001    0.000    0.528    0.005 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/vocab_parallel_embedding.py:42(embedding)
      113    0.001    0.000    0.527    0.005 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/nn/functional.py:2157(embedding)
      113    0.526    0.005    0.526    0.005 {built-in method torch.embedding}
     6893    0.012    0.000    0.516    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/communication_op.py:9(tensor_model_parallel_all_reduce)
        1    0.000    0.000    0.514    0.514 /opt/conda/envs/pytorch/lib/python3.10/site-packages/xformers/ops/fmha/__init__.py:1(<module>)
    17899    0.045    0.000    0.511    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/spawnbase.py:357(expect_list)
     6893    0.013    0.000    0.500    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/parallel_state.py:265(all_reduce)
        3    0.000    0.000    0.471    0.157 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/parallel_state.py:105(__init__)
      661    0.004    0.000    0.455    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/model_runner.py:1017(_prepare_model_input_tensors)
     6780    0.025    0.000    0.444    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/linear.py:361(forward)
        1    0.000    0.000    0.428    0.428 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/parallel_state.py:953(ensure_model_parallel_initialized)
        1    0.000    0.000    0.428    0.428 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/parallel_state.py:878(initialize_model_parallel)
        2    0.000    0.000    0.428    0.214 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/parallel_state.py:764(init_model_parallel_group)
